"message","retweetCount","retweeted_authors","data"
"RT @3BMeteo: ULTIMORA http://t.co/wm9QGrkbse
Allerta 2 fino a stasera tra Liguria e Piemonte
#allertameteoPIE #allertameteoLIG http://t.co/…",45,"lubuwetter","2014-11-15"
"ULTIMORA http://t.co/wm9QGrkbse
Allerta 2 fino a stasera tra Liguria e Piemonte
#allertameteoPIE #allertameteoLIG http://t.co/nJtuHAqTJm",45,"3BMeteo","2014-11-15"
"Mappa piene fluviali. Previsioni del 30 novembre #allertameteoPIE #allertameteoPM http://t.co/aJy5bXRa98",23,"ArpaPiemonte","2014-11-30"
"Esaurimento delle precipitazioni nella notte. Livelli idrometrici ancora in crescita http://t.co/a6Go0ERN9g #allertameteoPM #allertameteoPIE",21,"ArpaPiemonte","2014-11-15"
"Tutte le criticità aggiornate
►http://t.co/OMBsFyCocR
#allertameteoLIG
#allertameteoLOM
#allertameteoPIE http://t.co/wJ6TYPkYD2",20,"3BMeteo","2014-11-15"
"Nelle ultime 48h il Po a Torino è cresciuto di 2m e continuerà fino alle ore centrali di domani #allertameteoPIE #allertameteoPM",18,"ArpaPiemonte","2014-11-30"
"RT @ArpaPiemonte: Nelle ultime 48h il Po a Torino è cresciuto di 2m e continuerà fino alle ore centrali di domani #allertameteoPIE #allerta…",18,"wwwmeteoit","2014-11-30"
"RT @ArpaPiemonte: Quadro di sintesi rischio idrogeologico aggiornato http://t.co/aLlb7zQdvl #allertameteoPM #allertameteoPIE http://t.co/1w…",16,"Novara_e_Varese","2014-11-17"
"Da domani sera precipitazioni più diffuse, anche a carattere temporalesco, fino alla prima parte di lunedì #allertameteoPM #allertameteoPIE",15,"ArpaPiemonte","2014-11-29"
"Estesa anche a domenica l'allerta gialla per rischio idrogeologico sul Piemonte http://t.co/dx67PgyD5K #allertameteoPM #allertameteoPIE",15,"ArpaPiemonte","2014-11-29"
"RT @ArpaPiemonte: Le precipitazioni delle ultime 48 h aggiornato alle h. 9.00 dell' 11.11.2014 #allertameteoPM #allertameteoPIE http://t.co…",15,"Annathelion","2014-11-11"
