"date","Institution","Weather","Media","Volunteer_NGO","others"
2014-11-03,6,3,1,0,12
2014-11-04,24,15,5,0,22
2014-11-05,105,32,24,6,144
2014-11-06,31,10,7,2,7
2014-11-07,5,3,1,2,3
2014-11-08,,,,,
2014-11-09,40,40,13,9,131
2014-11-10,158,130,94,20,553
2014-11-11,37,40,27,3,104
2014-11-12,9,7,13,1,33
2014-11-13,0,0,1,0,12
2014-11-14,28,19,6,1,39
2014-11-15,74,68,21,8,177
2014-11-16,28,29,8,3,56
2014-11-17,88,66,29,12,178
2014-11-18,2,5,9,0,20
2014-11-19,0,0,1,0,6
2014-11-20,,,,,
2014-11-21,,,,,
2014-11-22,0,0,0,0,1
2014-11-23,,,,,
2014-11-24,,,,,
2014-11-25,,,,,
2014-11-26,0,0,1,0,0
2014-11-27,0,0,2,0,0
2014-11-28,0,3,3,1,6
2014-11-29,,,,,
2014-11-30,28,24,3,2,33
2014-12-01,38,26,2,7,27
2014-12-02,0,0,1,0,0
