Channel,Type,Whopost,Institution,Media,others,Volunteer_NGO,Weather
allertameteoLIG,mentions,Institution,85,17,59,5,20
allertameteoLIG,mentions,Media,79,303,869,50,264
allertameteoLIG,mentions,others,1946,3436,21724,954,2407
allertameteoLIG,mentions,Volunteer_NGO,27,48,158,70,20
allertameteoLIG,mentions,Weather,82,104,451,29,162
allertameteoLIG,retweet,Institution,61,12,49,1,17
allertameteoLIG,retweet,Media,68,42,783,16,233
allertameteoLIG,retweet,others,1565,807,16723,94,2001
allertameteoLIG,retweet,Volunteer_NGO,21,9,134,11,18
allertameteoLIG,retweet,Weather,72,23,372,6,125
allertameteoPIE,mentions,Institution,0,5,1,1,37
allertameteoPIE,mentions,Media,47,51,53,5,155
allertameteoPIE,mentions,others,41,306,402,26,701
allertameteoPIE,mentions,Volunteer_NGO,3,9,4,4,70
allertameteoPIE,mentions,Weather,2,4,6,1,80
allertameteoPIE,retweet,Institution,0,5,1,1,33
allertameteoPIE,retweet,Media,28,40,42,5,140
allertameteoPIE,retweet,others,20,278,300,20,661
allertameteoPIE,retweet,Volunteer_NGO,3,6,4,2,60
allertameteoPIE,retweet,Weather,1,1,6,1,79
allertameteoTOS,mentions,Institution,223,51,25,10,123
allertameteoTOS,mentions,Media,61,29,36,3,47
allertameteoTOS,mentions,others,536,298,260,15,481
allertameteoTOS,mentions,Volunteer_NGO,33,3,4,4,27
allertameteoTOS,mentions,Weather,334,50,21,9,102
allertameteoTOS,retweet,Institution,89,21,15,6,97
allertameteoTOS,retweet,Media,45,16,33,1,43
allertameteoTOS,retweet,others,381,211,220,9,455
allertameteoTOS,retweet,Volunteer_NGO,27,1,4,1,23
allertameteoTOS,retweet,Weather,251,39,19,7,88
