"date","Emergency","Places","Outside_Places","Institution","Media","Weather","Mobility","others","Social_Media","Time"
2014-11-03,70,32,1,3,0,5,2,6,0,0
2014-11-04,334,135,17,1,1,10,0,20,0,1
2014-11-05,191,106,14,2,0,7,0,6,0,0
2014-11-06,18,10,2,0,0,0,0,4,0,0
2014-11-07,,,,,,,,,,
2014-11-08,29,10,0,2,0,6,0,3,0,0
2014-11-09,245,95,6,4,0,7,1,29,0,0
2014-11-10,770,359,63,13,9,25,8,52,0,0
2014-11-11,906,554,91,21,5,63,6,59,4,0
2014-11-12,303,118,16,16,0,23,5,35,0,0
2014-11-13,73,19,1,1,0,9,0,12,1,0
2014-11-14,194,67,8,2,3,13,1,38,0,1
2014-11-15,2892,1554,104,36,27,181,23,217,3,1
2014-11-16,300,139,12,18,5,26,8,46,0,1
2014-11-17,287,95,14,9,1,28,15,31,0,1
2014-11-18,31,19,1,1,1,6,2,4,0,0
2014-11-19,11,4,0,2,1,1,0,2,0,0
2014-11-20,1,0,0,0,0,0,0,1,0,0
2014-11-21,,,,,,,,,,
2014-11-22,1,2,0,0,0,0,0,0,0,0
2014-11-23,,,,,,,,,,
2014-11-24,,,,,,,,,,
2014-11-25,8,2,0,0,0,0,0,0,0,0
2014-11-26,4,3,0,0,0,0,0,0,0,0
2014-11-27,188,69,0,5,1,13,2,10,0,0
2014-11-28,158,38,6,3,0,6,4,12,0,1
2014-11-29,37,9,1,1,0,1,0,1,0,0
2014-11-30,85,31,2,3,0,2,0,2,0,0
2014-12-01,102,40,2,3,0,10,0,10,0,0
2014-12-02,2,1,0,0,0,0,0,0,0,0
